watch,0.554,0.5323,1.2569,2.754,3.0004,5.8776,3.6291
usb_hub,0.7189,0.5318,1.2361,3.3544,3.7221,7.2615,4.3547
watch,0.5601,0.5207,1.2257,2.6239,2.8618,5.6048,3.4761
watch,0.555,0.5186,1.2178,2.661,2.8972,5.6764,3.5061
watch,0.5803,0.5318,1.2528,2.662,2.9229,5.7155,3.5494
watch,0.5542,0.5192,1.2163,2.7814,3.0201,5.9208,3.6284
usb_hub,0.7203,0.5333,1.2406,3.3505,3.713,7.2454,4.3449
usb_hub,0.6009,0.406,0.9589,2.8957,3.3414,6.549,3.9271
usb_hub,0.542,0.4343,1.0267,2.012,2.1978,4.3062,2.712
usb_hub,0.5624,0.431,1.0616,2.0673,2.0375,4.0915,2.5688
key,0.4655,0.4044,0.9685,1.5499,1.7915,3.4623,2.2768
key,0.4722,0.3996,0.9539,1.5473,1.7806,3.4446,2.2576
key,0.4518,0.4323,1.0797,1.514,1.8071,3.4677,2.3471
key,0.4559,0.3613,0.8394,1.6547,1.8877,3.6591,2.3075
key,0.4624,0.3825,0.929,1.4517,1.7029,3.2807,2.1682
pen,0.766,0.0889,0.1978,1.7088,1.7693,3.5083,1.8687
pen,0.7651,0.099,0.2187,1.7596,1.8222,3.6131,1.932
pen,0.7687,0.091,0.202,1.7163,1.7767,3.5232,1.8781
pen,0.7682,0.0881,0.1958,1.7657,1.8273,3.6238,1.926
pen,0.7761,0.0826,0.1845,1.687,1.7452,3.4612,1.8378
paintbrush,0.7215,-0.16,-0.3136,0.9439,0.9659,1.9208,0.8091
paintbrush,0.7388,-0.1435,-0.2803,1.086,1.109,2.2065,0.9689
paintbrush,0.7002,-0.1467,-0.2865,0.9003,0.9241,1.8363,0.7809
paintbrush,0.7387,-0.1438,-0.281,1.0977,1.1205,2.2296,0.98
paintbrush,0.7279,-0.1568,-0.3072,1.0839,1.1072,2.2027,0.9536
mouse,0.773,0.7513,2.3037,3.5971,4.9915,9.3519,6.2584
mouse,0.7741,0.7513,2.3013,3.5979,4.9767,9.3425,6.2577
mouse,0.7716,0.7513,2.2999,3.6099,4.9886,9.3698,6.2725
mouse,0.7746,0.7509,2.2995,3.5872,4.9634,9.311,6.2334
mouse,0.7782,0.7508,2.2961,3.6038,4.9818,9.3471,6.2473
case,0.8121,0.795,3.48,8.2244,10.329,-19.6557,-12.1796
case,0.7925,0.795,3.4761,7.6589,10.2892,-19.4163,-12.4303
case,0.8127,0.795,3.4801,7.7367,10.485,-19.725,-12.4569
case,0.8336,0.7944,3.4397,7.3981,9.762,-18.6149,-11.9039
case,0.8131,0.7949,3.4565,8.7363,12.4206,-23.2317,-14.4882
candy,0.6482,0.3809,0.861,2.4243,2.5643,5.059,3.0085
candy,0.6536,0.3732,0.8431,2.4641,2.6089,5.1457,3.0458
candy,0.6528,0.3841,0.8672,2.4919,2.6438,5.2123,3.0944
candy,0.6593,0.3736,0.8439,2.4369,2.5794,5.0879,3.0172
candy,0.6371,0.3765,0.8502,2.5401,2.6838,5.2962,3.123
toothbrush,0.4457,-0.1715,-0.3276,0.1466,0.1902,0.3586,0.0278
toothbrush,0.445,-0.1684,-0.3213,0.1982,0.2476,0.4705,0.0892
toothbrush,0.4555,-0.1504,-0.2851,0.3557,0.4166,0.8028,0.2779
toothbrush,0.5316,-0.1892,-0.3681,2.9386,4.0425,-7.7793,-4.307
toothbrush,0.5153,-0.193,-0.3751,1.9321,2.1471,4.1873,1.9635
spatula,0.5238,0.0508,0.1334,0.7034,0.7771,1.5174,0.8439
spatula,0.5268,0.0573,0.1471,0.7398,0.8158,1.5935,0.8894
spatula,0.5218,0.0555,0.1436,0.7097,0.784,1.5309,0.8559
spatula,0.5232,0.0479,0.1273,0.7098,0.7838,1.5305,0.8475
spatula,0.5247,0.0492,0.1298,0.7333,0.8081,1.5788,0.8731
nail_clipper,0.9411,0.3411,0.7448,3.8422,4.0067,7.9312,4.3794
nail_clipper,0.953,0.3608,0.7895,5.2477,5.5147,10.8971,5.9177
nail_clipper,0.9589,0.3436,0.7503,5.2075,6.1301,-12.0352,-6.6999
nail_clipper,0.752,0.2689,0.5932,2.882,3.7175,-7.5643,-4.2052
nail_clipper,0.744,0.218,0.4895,2.0036,2.0479,4.0739,2.3136
lighter,0.9379,0.5584,1.307,4.4653,5.3823,10.7492,6.6306
lighter,0.9414,0.5626,1.3193,4.4632,5.3707,10.6959,6.5885
lighter,0.9328,0.5593,1.3097,4.4552,5.3914,10.8765,6.8507
lighter,0.9284,0.569,1.3389,4.672,5.6694,11.1164,6.6381
lighter,0.9243,0.5664,1.3299,4.3256,5.1167,9.8437,5.7912
postit,0.9854,0.7782,6.6173,7.4268,8.9746,17.7991,-12.4561
comb,0.9485,0.4123,0.9134,6.9995,7.6987,-15.2449,-8.1833
comb,0.9491,0.4123,0.9136,6.1675,6.5944,13.0026,7.0787
comb,0.9637,0.4137,0.9169,4.922,5.1605,10.202,5.6267
comb,0.9501,0.4124,0.9139,5.5999,5.7829,11.478,6.2475
comb,0.9482,0.41,0.908,5.5259,5.7745,11.4368,6.2898
laces,0.7428,0.7599,2.3733,3.993,5.1898,10.0995,6.8413
laces,0.7434,0.7701,2.5588,4.2539,5.4238,10.6298,7.0407
laces,0.7431,0.7698,2.5905,4.3254,5.5917,-10.9356,7.5179
laces,0.7046,0.7631,2.4702,4.2964,5.9031,-11.4565,7.4639
laces,0.7518,0.7781,2.6769,4.8903,6.7461,12.6071,8.2526
knife,0.6653,0.038,0.0949,1.6708,1.7296,3.4298,1.7783
knife,0.6725,0.0448,0.1087,1.8143,1.8745,3.7189,1.9301
knife,0.666,0.0327,0.0839,1.6925,1.7474,3.4673,1.7902
knife,0.6794,0.0366,0.0919,1.8352,1.8926,3.7565,1.9396
knife,0.667,0.0339,0.0862,1.763,1.8197,3.611,1.8637